"gene","log2FoldChange","padj","significant"
"RP11-54O7.17",0.557225152499024,0.374043559413785,FALSE
"N4BP2L2-IT2",-0.661005965190908,0.37878526198422,FALSE
"CNIH2",0.529209713201253,0.37878526198422,FALSE
"P2RY13",-0.640978166334084,0.37878526198422,FALSE
"SLC36A4",-0.39857585748236,0.37878526198422,FALSE
"ALPK3",0.761273241189278,0.381222472143277,FALSE
"RP11-496H1.1",0.531244153971008,0.387998481334405,FALSE
"ASPG",-0.856633170877422,0.387998481334405,FALSE
"SPATA1",-0.525910461958637,0.387998481334405,FALSE
"RPS24",0.295243235584789,0.387998481334405,FALSE
"CLK2",0.205340658479965,0.387998481334405,FALSE
"HS2ST1",-0.228380467474609,0.387998481334405,FALSE
"SEPT7-AS1",0.361772867576007,0.387998481334405,FALSE
"RP11-73M18.10",-0.329356581459527,0.387998481334405,FALSE
"FO538757.2",0.294975995164083,0.387998481334405,FALSE
"CSMD2",-0.692664590001356,0.387998481334405,FALSE
"CLOCK",-0.280226617049415,0.401544481989925,FALSE
"RP11-182L21.6",0.334478668206799,0.401544481989925,FALSE
"FAM155A",0.64380703050536,0.401544481989925,FALSE
